Rank,Tier,Name,Team,Position,BYE WEEK,SOS SEASON,ECR VS. ADP
20,4,Garrett Wilson,NYJ,WR,9,4 out of 5 stars,14
21,4,A.J. Brown,PHI,WR,9,3 out of 5 stars,-4
22,4,Bucky Irving,TB,RB,9,3 out of 5 stars,-1
23,4,Josh Allen,BUF,QB,7,4 out of 5 stars,1
24,4,Chase Brown,CIN,RB,10,4 out of 5 stars,3
25,4,Derrick Henry,BAL,RB,7,4 out of 5 stars,-13
26,4,Lamar Jackson,BAL,QB,7,3 out of 5 stars,-4
27,4,Tyreek Hill,MIA,WR,12,3 out of 5 stars,1
28,4,Tee Higgins,CIN,WR,10,3 out of 5 stars,1
29,4,Davante Adams,LAR,WR,8,3 out of 5 stars,6
30,5,Jayden Daniels,WAS,QB,12,2 out of 5 stars,0
31,5,Jonathan Taylor,IND,RB,11,2 out of 5 stars,-11
32,5,Mike Evans,TB,WR,9,3 out of 5 stars,10
33,5,George Kittle,SF,TE,14,3 out of 5 stars,6
34,5,Jalen Hurts,PHI,QB,9,3 out of 5 stars,4
35,5,Josh Jacobs,GB,RB,5,4 out of 5 stars,-19
36,5,Marvin Harrison Jr.,ARI,WR,8,4 out of 5 stars,5
37,5,Terry McLaurin,WAS,WR,12,3 out of 5 stars,-1
38,5,Breece Hall,NYJ,RB,9,5 out of 5 stars,-5
39,5,DJ Moore,CHI,WR,5,2 out of 5 stars,8
40,5,Kyren Williams,LAR,RB,8,3 out of 5 stars,-17
41,5,Kenneth Walker III,SEA,RB,8,3 out of 5 stars,2
42,5,Alvin Kamara,NO,RB,11,4 out of 5 stars,-2
43,6,Courtland Sutton,DEN,WR,12,3 out of 5 stars,9
44,6,Jameson Williams,DET,WR,8,3 out of 5 stars,17
45,6,Xavier Worthy,KC,WR,10,3 out of 5 stars,10
46,6,Omarion Hampton,LAC,RB,12,2 out of 5 stars,-2
47,6,DK Metcalf,PIT,WR,5,4 out of 5 stars,4
48,6,Tetairoa McMillan,CAR,WR,14,4 out of 5 stars,21
49,6,James Conner,ARI,RB,8,3 out of 5 stars,0
50,6,James Cook,BUF,RB,7,4 out of 5 stars,-19
51,6,DeVonta Smith,PHI,WR,9,3 out of 5 stars,3
52,6,Zay Flowers,BAL,WR,7,3 out of 5 stars,6
53,6,Rashee Rice,KC,WR,10,3 out of 5 stars,-8
54,6,Jaylen Waddle,MIA,WR,12,3 out of 5 stars,21
55,6,Joe Burrow,CIN,QB,10,2 out of 5 stars,-18
56,6,Chuba Hubbard,CAR,RB,14,3 out of 5 stars,-10
57,6,George Pickens,DAL,WR,10,2 out of 5 stars,11
58,6,Calvin Ridley,TEN,WR,10,4 out of 5 stars,12
59,6,Patrick Mahomes II,KC,QB,10,3 out of 5 stars,-6
60,7,Aaron Jones Sr.,MIN,RB,6,3 out of 5 stars,5
61,7,RJ Harvey,DEN,RB,12,2 out of 5 stars,-2
62,7,D'Andre Swift,CHI,RB,5,3 out of 5 stars,-6
63,7,TreVeyon Henderson,NE,RB,14,4 out of 5 stars,-3
64,7,Baker Mayfield,TB,QB,9,2 out of 5 stars,3
65,7,Sam LaPorta,DET,TE,8,3 out of 5 stars,-15
66,7,Jerry Jeudy,CLE,WR,9,2 out of 5 stars,7
67,7,David Montgomery,DET,RB,8,2 out of 5 stars,-10
68,7,Rome Odunze,CHI,WR,5,2 out of 5 stars,13
69,7,T.J. Hockenson,MIN,TE,6,3 out of 5 stars,-6
