Rank,Tier,Name,Team,Position,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Ja'Marr Chase,CIN,WR,10,3 out of 5 stars,0
2,1,Justin Jefferson,MIN,WR,6,2 out of 5 stars,2
3,1,Saquon Barkley,PHI,RB,9,3 out of 5 stars,-1
4,1,CeeDee Lamb,DAL,WR,10,2 out of 5 stars,2
5,2,Bijan Robinson,ATL,RB,5,4 out of 5 stars,-2
6,2,Jahmyr Gibbs,DET,RB,8,2 out of 5 stars,-1
7,2,Puka Nacua,LAR,WR,8,3 out of 5 stars,0
8,2,Amon-Ra St. Brown,DET,WR,8,3 out of 5 stars,1
9,2,Malik Nabers,NYG,WR,14,2 out of 5 stars,2
10,2,Nico Collins,HOU,WR,6,4 out of 5 stars,4
11,2,Brian Thomas Jr.,JAC,WR,8,4 out of 5 stars,4
12,3,De'Von Achane,MIA,RB,12,4 out of 5 stars,1
13,3,Josh Jacobs,GB,RB,5,4 out of 5 stars,3
14,3,A.J. Brown,PHI,WR,9,3 out of 5 stars,3
15,3,Derrick Henry,BAL,RB,7,4 out of 5 stars,-3
16,3,Drake London,ATL,WR,5,3 out of 5 stars,3
17,3,Jaxon Smith-Njigba,SEA,WR,8,3 out of 5 stars,15
18,3,Josh Allen,BUF,QB,7,4 out of 5 stars,6
19,4,Tee Higgins,CIN,WR,10,3 out of 5 stars,10
20,4,Bucky Irving,TB,RB,9,3 out of 5 stars,1
21,4,Tyreek Hill,MIA,WR,12,3 out of 5 stars,7
22,4,Ladd McConkey,LAC,WR,12,3 out of 5 stars,3
23,4,Christian McCaffrey,SF,RB,14,3 out of 5 stars,-15
24,4,Trey McBride,ARI,TE,8,5 out of 5 stars,2
25,4,Brock Bowers,LV,TE,8,2 out of 5 stars,-7
26,4,Garrett Wilson,NYJ,WR,9,4 out of 5 stars,8
27,4,Lamar Jackson,BAL,QB,7,3 out of 5 stars,-5
28,4,Davante Adams,LAR,WR,8,3 out of 5 stars,7
29,4,Jonathan Taylor,IND,RB,11,2 out of 5 stars,-9
30,4,Kyren Williams,LAR,RB,8,3 out of 5 stars,-7
31,5,Terry McLaurin,WAS,WR,12,3 out of 5 stars,5
32,5,Breece Hall,NYJ,RB,9,5 out of 5 stars,1
33,5,Jalen Hurts,PHI,QB,9,3 out of 5 stars,5
34,5,Mike Evans,TB,WR,9,3 out of 5 stars,8
35,5,Chase Brown,CIN,RB,10,4 out of 5 stars,-8
36,5,DJ Moore,CHI,WR,5,2 out of 5 stars,11
37,5,Jayden Daniels,WAS,QB,12,2 out of 5 stars,-7
38,5,Courtland Sutton,DEN,WR,12,3 out of 5 stars,14
39,5,James Cook,BUF,RB,7,4 out of 5 stars,-8
40,5,DK Metcalf,PIT,WR,5,4 out of 5 stars,11
41,5,Zay Flowers,BAL,WR,7,3 out of 5 stars,17
42,5,Ashton Jeanty,LV,RB,8,2 out of 5 stars,-32
43,5,Chris Olave,NO,WR,11,4 out of 5 stars,35
44,5,George Kittle,SF,TE,14,3 out of 5 stars,-5
45,5,Joe Burrow,CIN,QB,10,2 out of 5 stars,-8
46,6,Kenneth Walker III,SEA,RB,8,3 out of 5 stars,-3
47,6,Alvin Kamara,NO,RB,11,4 out of 5 stars,-7
48,6,Marvin Harrison Jr.,ARI,WR,8,4 out of 5 stars,-7
49,6,Rashee Rice,KC,WR,10,3 out of 5 stars,-4
50,6,Chuba Hubbard,CAR,RB,14,3 out of 5 stars,-4
51,6,DeVonta Smith,PHI,WR,9,3 out of 5 stars,3
52,6,Joe Mixon,HOU,RB,6,2 out of 5 stars,-4
53,6,Chris Godwin,TB,WR,9,3 out of 5 stars,23
54,6,Patrick Mahomes II,KC,QB,10,3 out of 5 stars,-1
55,6,Jaylen Waddle,MIA,WR,12,3 out of 5 stars,20
56,6,James Conner,ARI,RB,8,3 out of 5 stars,-7
57,6,George Pickens,DAL,WR,10,2 out of 5 stars,11
58,6,Baker Mayfield,TB,QB,9,2 out of 5 stars,9
59,6,Jerry Jeudy,CLE,WR,9,2 out of 5 stars,14
60,6,David Montgomery,DET,RB,8,2 out of 5 stars,-3
61,7,Jordan Addison,MIN,WR,6,2 out of 5 stars,18
62,7,Isiah Pacheco,KC,RB,10,2 out of 5 stars,4
63,7,T.J. Hockenson,MIN,TE,6,3 out of 5 stars,0
64,7,Rome Odunze,CHI,WR,5,2 out of 5 stars,17
65,7,Jameson Williams,DET,WR,8,3 out of 5 stars,-4
66,7,Kyler Murray,ARI,QB,8,4 out of 5 stars,21
67,7,Sam LaPorta,DET,TE,8,3 out of 5 stars,-17
68,7,Khalil Shakir,BUF,WR,7,3 out of 5 stars,22
69,7,Jared Goff,DET,QB,8,2 out of 5 stars,37
70,7,Aaron Jones Sr.,MIN,RB,6,3 out of 5 stars,-5
71,7,Tony Pollard,TEN,RB,10,2 out of 5 stars,1
72,7,Xavier Worthy,KC,WR,10,3 out of 5 stars,-17
73,7,Justin Herbert,LAC,QB,12,3 out of 5 stars,40
74,7,Tyrone Tracy Jr.,NYG,RB,14,3 out of 5 stars,12
75,7,Bo Nix,DEN,QB,12,4 out of 5 stars,-1
76,7,Brian Robinson Jr.,WAS,RB,12,2 out of 5 stars,4
77,7,Calvin Ridley,TEN,WR,10,4 out of 5 stars,-7
78,7,Travis Kelce,KC,TE,10,3 out of 5 stars,-14
79,7,D'Andre Swift,CHI,RB,5,3 out of 5 stars,-23
80,7,Stefon Diggs,NE,WR,14,3 out of 5 stars,9
81,8,Brock Purdy,SF,QB,14,4 out of 5 stars,19
82,8,Deebo Samuel Sr.,WAS,WR,12,3 out of 5 stars,2
83,8,Mark Andrews,BAL,TE,7,3 out of 5 stars,-6
84,8,Jakobi Meyers,LV,WR,8,4 out of 5 stars,9
85,8,Travis Etienne Jr.,JAC,RB,8,2 out of 5 stars,10
86,8,Jordan Love,GB,QB,5,2 out of 5 stars,43
87,8,Omarion Hampton,LAC,RB,12,2 out of 5 stars,-43
88,8,Najee Harris,LAC,RB,12,2 out of 5 stars,17
89,8,Caleb Williams,CHI,QB,5,2 out of 5 stars,20
90,8,Jaylen Warren,PIT,RB,5,4 out of 5 stars,1
91,8,Tetairoa McMillan,CAR,WR,14,4 out of 5 stars,-22
92,8,Evan Engram,DEN,TE,12,3 out of 5 stars,-9
93,8,David Njoku,CLE,TE,9,3 out of 5 stars,-8
94,8,Brandon Aiyuk,SF,WR,14,4 out of 5 stars,20
95,8,Jayden Reed,GB,WR,5,2 out of 5 stars,6
96,8,J.K. Dobbins,DEN,RB,12,2 out of 5 stars,21
97,8,Cooper Kupp,SEA,WR,8,3 out of 5 stars,-9
98,8,Jonnu Smith,PIT,TE,5,3 out of 5 stars,4
99,8,Dak Prescott,DAL,QB,10,2 out of 5 stars,5
100,8,Michael Pittman Jr.,IND,WR,11,4 out of 5 stars,20
101,8,TreVeyon Henderson,NE,RB,14,4 out of 5 stars,-41
102,8,Josh Downs,IND,WR,11,4 out of 5 stars,17
103,8,Tucker Kraft,GB,TE,5,2 out of 5 stars,8
104,8,Javonte Williams,DAL,RB,10,2 out of 5 stars,-7
105,8,Rico Dowdle,CAR,RB,14,3 out of 5 stars,69
106,8,C.J. Stroud,HOU,QB,6,3 out of 5 stars,27
107,8,Jake Ferguson,DAL,TE,10,2 out of 5 stars,25
108,8,Rhamondre Stevenson,NE,RB,14,4 out of 5 stars,-5
109,8,Dalton Kincaid,BUF,TE,7,3 out of 5 stars,16
110,9,Zach Charbonnet,SEA,RB,8,3 out of 5 stars,5
111,9,Jauan Jennings,SF,WR,14,4 out of 5 stars,-17
112,9,Drake Maye,NE,QB,14,5 out of 5 stars,28
113,9,Tua Tagovailoa,MIA,QB,12,5 out of 5 stars,44
114,9,Rachaad White,TB,RB,9,3 out of 5 stars,9
115,9,Darnell Mooney,ATL,WR,5,3 out of 5 stars,6
116,9,Dallas Goedert,PHI,TE,9,3 out of 5 stars,15
117,9,Trevor Lawrence,JAC,QB,8,3 out of 5 stars,38
118,9,Tank Bigsby,JAC,RB,8,2 out of 5 stars,19
119,9,Tyjae Spears,TEN,RB,10,2 out of 5 stars,5
120,9,Ricky Pearsall,SF,WR,14,4 out of 5 stars,-22
121,9,Austin Ekeler,WAS,RB,12,2 out of 5 stars,6
122,9,Tyler Warren,IND,TE,11,3 out of 5 stars,-14
123,9,Keon Coleman,BUF,WR,7,3 out of 5 stars,-7
124,9,Matthew Stafford,LAR,QB,8,3 out of 5 stars,42
125,9,Travis Hunter,JAC,WR,8,4 out of 5 stars,-63
126,9,Jalen McMillan,TB,WR,9,3 out of 5 stars,50
127,9,Quentin Johnston,LAC,WR,12,3 out of 5 stars,59
128,9,Christian Kirk,HOU,WR,6,4 out of 5 stars,26
129,9,Quinshon Judkins,CLE,RB,9,4 out of 5 stars,-47
130,9,Emeka Egbuka,TB,WR,9,3 out of 5 stars,-8
131,9,Hunter Henry,NE,TE,14,3 out of 5 stars,62
132,9,Jerome Ford,CLE,RB,9,4 out of 5 stars,27
133,9,Sam Darnold,SEA,QB,8,4 out of 5 stars,75
134,9,Jordan Mason,MIN,RB,6,3 out of 5 stars,-22
135,10,Tyler Allgeier,ATL,RB,5,4 out of 5 stars,18
136,10,Bryce Young,CAR,QB,14,3 out of 5 stars,65
137,10,Rashid Shaheed,NO,WR,11,4 out of 5 stars,5
138,10,Michael Penix Jr.,ATL,QB,5,4 out of 5 stars,25
139,10,Luther Burden III,CHI,WR,5,2 out of 5 stars,13
140,10,Blake Corum,LAR,RB,8,3 out of 5 stars,81
141,10,Ray Davis,BUF,RB,7,4 out of 5 stars,15
142,10,DeAndre Hopkins,BAL,WR,7,3 out of 5 stars,58
143,10,Kyle Pitts Sr.,ATL,TE,5,3 out of 5 stars,-4
144,10,Nick Chubb,HOU,RB,6,2 out of 5 stars,4
145,10,Kaleb Johnson,PIT,RB,5,4 out of 5 stars,-74
146,10,Braelon Allen,NYJ,RB,9,5 out of 5 stars,23
147,10,Denver Broncos,DEN,DST,12,4 out of 5 stars,25
148,10,Cedric Tillman,CLE,WR,9,2 out of 5 stars,32
149,10,Marquise Brown,KC,WR,10,3 out of 5 stars,-3
150,10,Cole Kmet,CHI,TE,5,4 out of 5 stars,107
151,10,Romeo Doubs,GB,WR,5,2 out of 5 stars,32
152,10,Adam Thielen,CAR,WR,14,4 out of 5 stars,13
153,10,Isaac Guerendo,SF,RB,14,3 out of 5 stars,-17
154,10,Geno Smith,LV,QB,8,3 out of 5 stars,58
155,10,DeMario Douglas,NE,WR,14,3 out of 5 stars,77
156,10,Rashod Bateman,BAL,WR,7,3 out of 5 stars,6
157,10,Pittsburgh Steelers,PIT,DST,5,3 out of 5 stars,28
158,10,Pat Freiermuth,PIT,TE,5,3 out of 5 stars,15
159,10,Marvin Mims Jr.,DEN,WR,12,3 out of 5 stars,-12
160,10,Colston Loveland,CHI,TE,5,4 out of 5 stars,-50
161,10,RJ Harvey,DEN,RB,12,2 out of 5 stars,-102
162,10,Cam Skattebo,NYG,RB,14,3 out of 5 stars,-70
163,10,Jaylen Wright,MIA,RB,12,4 out of 5 stars,8
164,10,Philadelphia Eagles,PHI,DST,9,2 out of 5 stars,17
165,10,J.J. McCarthy,MIN,QB,6,2 out of 5 stars,-27
166,10,Zach Ertz,WAS,TE,12,3 out of 5 stars,-17
167,10,Tre' Harris,LAC,WR,12,3 out of 5 stars,-32
168,10,Baltimore Ravens,BAL,DST,7,3 out of 5 stars,20
169,10,Xavier Legette,CAR,WR,14,4 out of 5 stars,-5
170,10,Wan'Dale Robinson,NYG,WR,14,2 out of 5 stars,12
171,10,Kansas City Chiefs,KC,DST,10,1 out of 5 stars,28
172,11,Cameron Ward,TEN,QB,10,2 out of 5 stars,25
173,11,Trey Benson,ARI,RB,8,3 out of 5 stars,-23
174,11,MarShawn Lloyd,GB,RB,5,4 out of 5 stars,17
175,11,Diontae Johnson,CLE,WR,9,2 out of 5 stars,94
176,11,Roschon Johnson,CHI,RB,5,3 out of 5 stars,2
177,11,Michael Wilson,ARI,WR,8,4 out of 5 stars,134
178,11,New York Jets,NYJ,DST,9,5 out of 5 stars,68
179,11,Adonai Mitchell,IND,WR,11,4 out of 5 stars,92
180,11,Minnesota Vikings,MIN,DST,6,2 out of 5 stars,42
181,11,Los Angeles Chargers,LAC,DST,12,5 out of 5 stars,32
182,11,Brandon Aubrey,DAL,K,10,4 out of 5 stars,-75
183,11,Jaleel McLaughlin,DEN,RB,12,2 out of 5 stars,67
184,11,Detroit Lions,DET,DST,8,1 out of 5 stars,12
185,11,Matthew Golden,GB,WR,5,2 out of 5 stars,-89
186,11,Aaron Rodgers,PIT,QB,5,4 out of 5 stars,25
187,11,Buffalo Bills,BUF,DST,7,5 out of 5 stars,3
188,11,Seattle Seahawks,SEA,DST,8,3 out of 5 stars,47
189,11,Jalen Coker,CAR,WR,14,4 out of 5 stars,73
190,11,Justin Tucker,FA,K,-,-,80
191,11,Jake Bates,DET,K,8,1 out of 5 stars,-63
192,11,Keenan Allen,FA,WR,-,-,10
193,11,Cleveland Browns,CLE,DST,9,3 out of 5 stars,49
194,11,Audric Estime,DEN,RB,12,2 out of 5 stars,155
195,11,Cade Otton,TB,TE,9,3 out of 5 stars,8
196,11,Anthony Richardson Sr.,IND,QB,11,3 out of 5 stars,-7
197,11,Russell Wilson,NYG,QB,14,1 out of 5 stars,28
198,11,Chris Boswell,PIT,K,5,1 out of 5 stars,-54
199,11,Cameron Dicker,LAC,K,12,5 out of 5 stars,-81
200,11,Dalton Schultz,HOU,TE,6,3 out of 5 stars,19
201,11,Alec Pierce,IND,WR,11,4 out of 5 stars,52
202,11,Andrei Iosivas,CIN,WR,10,3 out of 5 stars,54
203,11,Mike Gesicki,CIN,TE,10,2 out of 5 stars,6
204,11,Dontayvion Wicks,GB,WR,5,2 out of 5 stars,69
205,11,Wil Lutz,DEN,K,12,5 out of 5 stars,-30
206,11,Houston Texans,HOU,DST,6,2 out of 5 stars,-14
207,11,Ka'imi Fairbairn,HOU,K,6,3 out of 5 stars,-62
208,11,Justin Fields,NYJ,QB,9,5 out of 5 stars,-109
209,11,Isaiah Likely,BAL,TE,7,3 out of 5 stars,-58
210,12,Green Bay Packers,GB,DST,5,2 out of 5 stars,-6
211,12,Chase McLaughlin,TB,K,9,3 out of 5 stars,-77
212,12,Jaydon Blue,DAL,RB,10,2 out of 5 stars,-86
213,12,Jason Sanders,MIA,K,12,2 out of 5 stars,-53
214,12,Amari Cooper,FA,WR,-,-,65
215,12,Joshua Palmer,BUF,WR,7,3 out of 5 stars,1
216,12,Tyler Bass,BUF,K,7,2 out of 5 stars,-55
217,12,Brandin Cooks,NO,WR,11,4 out of 5 stars,183
218,12,Kendre Miller,NO,RB,11,4 out of 5 stars,23
219,12,Elijah Moore,BUF,WR,7,3 out of 5 stars,114
220,12,Chig Okonkwo,TEN,TE,10,3 out of 5 stars,-5
221,12,Los Angeles Rams,LAR,DST,8,3 out of 5 stars,23
222,12,Kayshon Boutte,NE,WR,14,3 out of 5 stars,70
223,12,Devaughn Vele,DEN,WR,12,3 out of 5 stars,168
224,12,Evan McPherson,CIN,K,10,1 out of 5 stars,-40
225,12,Antonio Gibson,NE,RB,14,4 out of 5 stars,97
226,12,Dylan Sampson,CLE,RB,9,4 out of 5 stars,-56
227,12,Harrison Butker,KC,K,10,3 out of 5 stars,-69
228,12,DJ Giddens,IND,RB,11,2 out of 5 stars,32
229,12,Malik Washington,MIA,WR,12,3 out of 5 stars,308
230,12,Sincere McCormick,LV,RB,8,2 out of 5 stars,372
231,12,Kenneth Gainwell,PIT,RB,5,4 out of 5 stars,71
232,12,Tampa Bay Buccaneers,TB,DST,9,3 out of 5 stars,7
233,12,Justice Hill,BAL,RB,7,4 out of 5 stars,-46
234,12,Kimani Vidal,LAC,RB,12,2 out of 5 stars,355
235,12,Calvin Austin III,PIT,WR,5,4 out of 5 stars,23
236,12,Taysom Hill,NO,TE,11,3 out of 5 stars,12
237,12,Tim Patrick,DET,WR,8,3 out of 5 stars,95
238,12,Jake Elliott,PHI,K,9,2 out of 5 stars,-44
239,12,Isaiah Bond,FA,WR,-,-,-
240,12,Ja'Tavion Sanders,CAR,TE,14,4 out of 5 stars,59
